cstp,Conditions & Standards for Task Performance,Conditions & Standards for Task Performance
con,Content,Content
ipt,Inst. Preparation/Time,Inst. Preparation/Time
it,Inst. Training,Inst. Training
ik,Inst.Knowledge,Inst.Knowledge
itech,Instructional Technologist,Instructional Technologist
ip,Instructor Performance,Instructor Performance
jta,Job/Task Analysis,Job/Task Analysis
ksa,Knowledge Skills and Abilities,Knowledge Skills and Abilities
med,Media,Media
meth,Method,Method
olo,Organizational Learning Objectives,Organizational Learning Objectives
pd,Program Design,Program Design
rms,Records Management System,Records Management System
rpa,Records/Performance Analysis,Records/Performance Analysis
seq,Sequence,Sequence
set,Setting,Setting
str,Structure,Structure
ti,Training Implementation,Training Implementation
tna,Training Needs Analysis,Training Needs Analysis
tp,Training Procedure,Training Procedure
